rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
III,rolo,6925,DIAMOND,54,159,14,93,8.8,58.5,
III,potatochipsbaked,NA1,DIAMOND,54,69,13,42,18.8,60.9,
III,Klsmith2002,NA2,DIAMOND,54,118,23,64,19.5,54.2,
III,iguro,bran,DIAMOND,53,139,20,75,14.4,54.0,1
III,CHREYIRD,NA1,DIAMOND,53,70,16,45,22.9,64.3,93
III,gregs astral tv,2high,DIAMOND,53,102,16,59,15.7,57.8,
III,Spark1,6967,DIAMOND,53,215,35,121,16.3,56.3,
III,Lesseraqueen,IVE,DIAMOND,53,77,15,49,19.5,63.6,
III,WaterParkTactics,VV5,DIAMOND,53,108,22,60,20.4,55.6,
III,35711,NA1,DIAMOND,53,140,25,76,17.9,54.3,
III,Lean,beann,DIAMOND,53,214,40,109,18.7,50.9,
III,hobo,tsysh,DIAMOND,52,99,23,60,23.2,60.6,
III,IDreath,NA1,DIAMOND,52,88,17,53,19.3,60.2,
III,Hi Im Ted,NA2,DIAMOND,52,137,27,77,19.7,56.2,
III,Lohpally,NA1,DIAMOND,52,126,18,69,14.3,54.8,
III,mawile,zia,DIAMOND,52,126,27,74,21.4,58.7,
III,Sw4ck3r,10101,DIAMOND,52,153,17,90,11.1,58.8,
III,PROFESSOR SMITH,5013,DIAMOND,52,143,29,76,20.3,53.1,
III,yamaguchi,2760,DIAMOND,52,197,32,102,16.2,51.8,
III,REVERT VIPER,nerfs,DIAMOND,51,185,27,99,14.6,53.5,
III,Randomguy1018,NA2,DIAMOND,51,198,29,105,14.6,53.0,
III,yeeetspire,777,DIAMOND,51,156,27,82,17.3,52.6,
III,Loser,8923,DIAMOND,51,110,15,64,13.6,58.2,99
III,orange range,NA2,DIAMOND,51,65,16,41,24.6,63.1,
III,DaoistAbsurdity,NA1,DIAMOND,51,144,21,81,14.6,56.2,
III,æsc,NA1,DIAMOND,50,153,18,92,11.8,60.1,
III,Mirovi,NA1,DIAMOND,50,123,24,64,19.5,52.0,
III,MiniArtemis,NA1,DIAMOND,50,220,23,116,10.5,52.7,
III,ＴＬＹＥＥ ＮＯＴ ＴＹＬＥＥ,00061,DIAMOND,50,89,13,57,14.6,64.0,
III,HMW,NA1,DIAMOND,50,171,22,89,12.9,52.0,
III,XxRedflame7xX,NA1,DIAMOND,50,108,12,67,11.1,62.0,
III,jadezx,rober,DIAMOND,49,121,18,68,14.9,56.2,
III,Jon DONG,NA1,DIAMOND,49,125,21,71,16.8,56.8,
III,Dinkleberg,5616,DIAMOND,49,263,41,135,15.6,51.3,
